 FLOW_OUT_1
observed          L95PPU         U95PPU         Best_Sim       M95PPU
0.480000        0.005120        0.019746        0.020600        0.012841       
0.110000        0.000022        0.008457        0.008900        0.004475       
0.000000        0.000012        0.004465        0.004700        0.002362       
0.000000        0.000005        0.001765        0.001900        0.000934       
0.000000        0.000010        0.003739        0.004000        0.001979       

p-factor= 0.21
r-factor= 0.16
R2= 0.08
Nash_Sutclif= -0.18


 FLOW_OUT_3
observed          L95PPU         U95PPU         Best_Sim       M95PPU
46.270000       17.716774       39.120953       17.660000       29.014999      
59.360001       89.179573       243.589310      88.769997       170.684998     
143.550003      132.994247      357.026459      132.399994      251.250000     
233.869995      53.037949       210.605103      52.619999       136.210007     
91.639999       16.335850       29.851299       16.299999       23.469999      
6.960000        0.791863        5.301819        5.565000        3.172450       
0.970000        0.009612        3.633525        3.845000        1.922500       
0.480000        0.007865        2.972970        3.146000        1.573000       
0.850000        0.010243        3.871665        4.097000        2.048500       
10.820000       0.018905        7.146089        7.562000        3.781000       
28.090000       9.038530        28.088341       8.988000        19.094000      
40.009998       17.304276       22.685944       17.290001       20.145000      
48.169998       9.814302        9.928348        9.814000        9.874500       
56.700001       113.532745      276.679474      113.099998      199.650009     
213.419998      82.729126       338.759308      82.050003       217.875000     
329.299988      65.186150       233.384659      64.739998       153.970001     
72.669998       31.569675       80.457138       31.440001       57.375000      
10.330000       14.671525       22.786449       14.650000       18.955000      
2.970000        0.017103        6.464746        6.841000        3.420500       
0.720000        0.014742        5.572665        5.897000        2.948500       
3.100000        0.018650        7.049699        7.460000        3.730000       
22.889999       3.244960        10.392880       10.810000       7.018000       
36.410000       38.975574       116.477348      38.770000       79.885002      
72.680000       16.096699       90.252594       15.900000       55.240002      
66.180000       76.843071       142.092346      76.669998       111.284996     
97.110001       212.688248      472.158508      212.000000      349.649994     
150.589996      191.794250      415.826416      191.199997      310.049988     
458.170013      94.459099       244.919830      94.059998       173.880005     
423.709991      54.891476       123.307571      54.709999       91.005005      
241.699997      5.035578        26.365292       27.610001       16.294500      
43.450001       0.055025        20.799450       22.010000       11.005000      
15.970000       0.052850        19.977301       21.139999       10.570000      
23.639999       0.052200        19.731596       20.879999       10.440000      
40.430000       0.053675        20.289146       21.469999       10.735000      
57.029999       35.292675       85.311142       35.160000       61.695000      
72.389999       39.363224       48.119057       39.340000       43.985001      
61.619999       48.958401       131.295197      48.740002       92.420006      
77.900002       98.720924       208.399612      98.430000       156.615005     
173.649994      64.927948       218.725052      64.519997       146.110001     
415.100006      45.583572       126.101349      45.369999       88.084999      
277.350006      43.360428       130.230667      43.130001       89.215004      
73.370003       9.858675        20.669147       21.299999       15.565000      
10.470000       0.042425        16.036648       16.969999       8.485000       
13.220000       0.038725        14.638049       15.490000       7.745000       
10.850000       0.038700        14.628601       15.480000       7.740000       
23.260000       0.108837        16.522192       17.480000       8.772650       
129.690002      24.822601       199.222778      24.360001       116.879997     
138.770004      53.183800       130.016403      52.980000       93.739998      
201.979996      127.846748      296.271484      127.400002      216.750000     
155.270004      132.812256      212.830551      132.600006      175.050003     
448.420013      87.768105       241.621857      87.360001       168.980011     
459.179993      132.106491      285.356995      131.699997      213.000000     
226.210007      101.149254      195.116501      100.900002      150.750000     
59.330002       16.794500       52.420998       54.500000       35.599998      
16.129999       0.116425        44.008652       46.570000       23.285000      
4.810000        0.105525        39.888451       42.209999       21.105000      
16.580000       0.105075        39.718346       42.029999       21.014999      
62.240002       0.104500        39.500999       41.799999       20.900000      
256.359985      154.529251      542.556641      153.500000      359.350006     
122.720001      89.538727       100.368073      89.510002       95.255005      
115.000000      94.503426       122.184616      94.430000       109.115005     
