Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_3     91.639999       16.335850       29.851299       16.299999      
FLOW_OUT_3     6.960000        0.791863        5.301819        5.565000       
FLOW_OUT_3     0.970000        0.009612        3.633525        3.845000       
FLOW_OUT_3     0.480000        0.007865        2.972970        3.146000       
FLOW_OUT_3     0.850000        0.010243        3.871665        4.097000       
FLOW_OUT_3     10.820000       0.018905        7.146089        7.562000       
FLOW_OUT_3     28.090000       9.038530        28.088341       8.988000       
FLOW_OUT_3     40.009998       17.304276       22.685944       17.290001      
FLOW_OUT_3     48.169998       9.814302        9.928348        9.814000       
FLOW_OUT_3     56.700001       113.532745      276.679474      113.099998     
FLOW_OUT_3     213.419998      82.729126       338.759308      82.050003      
FLOW_OUT_3     329.299988      65.186150       233.384659      64.739998      
FLOW_OUT_3     72.669998       31.569675       80.457138       31.440001      
FLOW_OUT_3     10.330000       14.671525       22.786449       14.650000      
FLOW_OUT_3     2.970000        0.017103        6.464746        6.841000       
FLOW_OUT_3     0.720000        0.014742        5.572665        5.897000       
FLOW_OUT_3     3.100000        0.018650        7.049699        7.460000       
FLOW_OUT_3     22.889999       3.244960        10.392880       10.810000      
FLOW_OUT_3     36.410000       38.975574       116.477348      38.770000      
FLOW_OUT_3     72.680000       16.096699       90.252594       15.900000      
FLOW_OUT_3     66.180000       76.843071       142.092346      76.669998      
FLOW_OUT_3     97.110001       212.688248      472.158508      212.000000     
FLOW_OUT_3     150.589996      191.794250      415.826416      191.199997     
FLOW_OUT_3     458.170013      94.459099       244.919830      94.059998      
FLOW_OUT_3     423.709991      54.891476       123.307571      54.709999      
FLOW_OUT_3     241.699997      5.035578        26.365292       27.610001      
FLOW_OUT_3     43.450001       0.055025        20.799450       22.010000      
FLOW_OUT_3     15.970000       0.052850        19.977301       21.139999      
FLOW_OUT_3     23.639999       0.052200        19.731596       20.879999      
FLOW_OUT_3     40.430000       0.053675        20.289146       21.469999      
FLOW_OUT_3     57.029999       35.292675       85.311142       35.160000      
FLOW_OUT_3     72.389999       39.363224       48.119057       39.340000      
FLOW_OUT_3     61.619999       48.958401       131.295197      48.740002      
FLOW_OUT_3     77.900002       98.720924       208.399612      98.430000      
FLOW_OUT_3     173.649994      64.927948       218.725052      64.519997      
FLOW_OUT_3     415.100006      45.583572       126.101349      45.369999      
FLOW_OUT_3     277.350006      43.360428       130.230667      43.130001      
FLOW_OUT_3     73.370003       9.858675        20.669147       21.299999      
FLOW_OUT_3     10.470000       0.042425        16.036648       16.969999      
FLOW_OUT_3     13.220000       0.038725        14.638049       15.490000      
FLOW_OUT_3     10.850000       0.038700        14.628601       15.480000      
FLOW_OUT_3     23.260000       0.108837        16.522192       17.480000      
FLOW_OUT_3     129.690002      24.822601       199.222778      24.360001      
FLOW_OUT_3     138.770004      53.183800       130.016403      52.980000      
FLOW_OUT_3     201.979996      127.846748      296.271484      127.400002     
FLOW_OUT_3     155.270004      132.812256      212.830551      132.600006     
FLOW_OUT_3     448.420013      87.768105       241.621857      87.360001      
FLOW_OUT_3     459.179993      132.106491      285.356995      131.699997     
FLOW_OUT_3     226.210007      101.149254      195.116501      100.900002     
FLOW_OUT_3     59.330002       16.794500       52.420998       54.500000      
FLOW_OUT_3     16.129999       0.116425        44.008652       46.570000      
FLOW_OUT_3     4.810000        0.105525        39.888451       42.209999      
FLOW_OUT_3     16.580000       0.105075        39.718346       42.029999      
FLOW_OUT_3     62.240002       0.104500        39.500999       41.799999      
FLOW_OUT_3     256.359985      154.529251      542.556641      153.500000     
FLOW_OUT_3     122.720001      89.538727       100.368073      89.510002      
FLOW_OUT_3     115.000000      94.503426       122.184616      94.430000      
FLOW_OUT_3     146.210007      74.995598       126.116829      74.860001      
FLOW_OUT_3     225.839996      12.616076       37.526352       38.980000      
FLOW_OUT_3     340.769989      94.391624       260.884308      93.949997      
FLOW_OUT_3     326.320007      116.464249      253.786423      116.099998     
FLOW_OUT_3     197.050003      82.915802       134.112396      82.779999      
FLOW_OUT_3     31.150000       0.138175        52.230152       55.270000      
FLOW_OUT_3     11.440000       0.123550        46.701900       49.419998      
FLOW_OUT_3     19.100000       0.120475        45.539547       48.189999      
FLOW_OUT_3     44.599998       0.118675        44.859154       47.470001      
FLOW_OUT_3     50.490002       4.111483        43.501381       45.799999      
FLOW_OUT_3     55.730000       0.108600        41.050804       43.439999      
FLOW_OUT_3     69.220001       14.763150       38.570694       39.959999      
FLOW_OUT_3     111.110001      56.300274       135.573975      56.090000      
FLOW_OUT_3     155.419998      63.177723       92.480057       63.099998      
FLOW_OUT_3     631.669983      187.138992      465.741974      186.399994     
FLOW_OUT_3     255.000000      46.592449       47.516098       47.570000      
FLOW_OUT_3     26.420000       3.573072        34.514404       36.320000      
FLOW_OUT_3     17.910000       0.375829        29.566565       31.270000      
FLOW_OUT_3     6.510000        0.069700        26.346600       27.879999      
FLOW_OUT_3     17.540001       0.068725        25.978054       27.490000      
FLOW_OUT_3     36.080002       0.072584        26.904228       28.469999      
FLOW_OUT_3     52.349998       0.841318        26.748190       28.260000      
FLOW_OUT_3     59.099998       0.066250        25.042498       26.500000      
FLOW_OUT_3     55.590000       6.966918        23.523815       24.490000      
FLOW_OUT_3     60.889999       45.473347       125.906334      45.259998      
FLOW_OUT_3     88.389999       21.104750       37.975506       21.059999      
FLOW_OUT_3     219.330002      23.843124       134.351242      23.549999      
FLOW_OUT_3     134.919998      10.223400       41.665199       10.140000      
FLOW_OUT_3     31.590000       0.015166        4.435074        4.693000       
FLOW_OUT_3     14.520000       2.484823        26.545906       2.421000       
FLOW_OUT_3     0.420000        0.002587        0.978075        1.035000       
FLOW_OUT_3     2.000000        0.009975        3.770550        3.990000       
FLOW_OUT_3     14.250000       0.373364        5.675587        5.985000       
FLOW_OUT_3     58.400002       8.840193        60.561779       8.703000       
FLOW_OUT_3     53.360001       9.084863        20.343025       9.055000       
FLOW_OUT_3     52.180000       11.828150       26.210693       11.790000      
FLOW_OUT_3     83.910004       210.188004      544.963928      209.300003     
FLOW_OUT_3     305.769989      282.855988      680.967896      281.799988     
