 FLOW_OUT_1
observed          L95PPU         U95PPU         Best_Sim       M95PPU
48.580002       6.557582        307.499664      5.909000        74.172379      
56.580002       4.241912        165.165726      3.954000        33.248627      
57.889999       3.920252        118.181183      4.498000        28.484001      
60.840000       2.731966        195.276215      4.077000        42.400497      
13.460000       0.046686        30.392397       0.000000        4.094839       
1.590000        0.000000        0.000000        0.000000        0.000000       
2.690000        0.033529        21.827099       0.000000        3.055112       
4.980000        0.077271        50.303703       0.000000        6.928875       
2.630000        0.000000        0.000000        0.000000        0.000000       
6.330000        0.060000        39.060001       0.000000        5.250000       
19.650000       0.551000        307.458008      0.000000        58.914650      
26.809999       3.811617        114.071045      13.530000       38.714748      
29.209999       3.596880        133.031357      9.281000        39.014000      
32.029999       43.741299       261.900879      99.070000       162.016251     
111.699997      40.874401       869.836731      86.529999       284.052490     
127.099998      8.184308        270.595398      34.709999       73.889618      
23.690001       0.075375        28.039495       7.275000        6.142955       
2.260000        0.003245        1.810710        0.092900        0.381863       
0.550000        0.000000        0.000000        0.000000        0.000000       
0.270000        0.000000        0.000000        0.000000        0.000000       
0.220000        0.043486        28.309202       0.000000        3.833396       
0.770000        0.086514        56.320801       0.000000        8.168750       
10.320000       0.336167        187.580994      0.000000        29.577011      
25.840000       4.745530        318.631714      4.315000        63.181122      
30.219999       5.439503        41.719429       6.513000        15.962375      
39.669998       15.058050       196.728745      53.660000       119.003754     
70.370003       0.363455        170.101120      0.284600        27.780647      
47.970001       0.193000        107.694008      0.000000        19.345001      
13.910000       0.108357        70.540497       0.000000        10.349287      
0.350000        0.001733        1.128090        0.000000        0.151625       
0.250000        0.052429        34.130997       0.000000        4.587500       
0.200000        0.000000        0.000000        0.000000        0.000000       
0.190000        0.000163        0.106206        0.000000        0.014275       

p-factor= 0.79
r-factor= 1.53
R2= 0.48
Nash_Sutclif= 0.30


 FLOW_OUT_7
observed          L95PPU         U95PPU         Best_Sim       M95PPU
2.080000        0.474072        144.347473      0.164000        30.925999      
12.510000       9.161241        40.641964       9.048000        18.204750      
22.180000       1.003273        24.678370       0.875300        9.039163       
44.610001       76.939034       535.370361      118.599998      223.544998     
35.090000       47.723236       629.642090      97.290001       231.019989     
53.520000       41.307552       377.554352      104.199997      149.095001     
85.519997       15.122300       130.333923      53.169998       56.875004      
373.470001      2.153620        44.990662       20.969999       19.696751      
306.000000      0.018217        10.164901       3.667000        1.824625       
113.190002      0.015057        9.802199        0.000000        1.317500       
23.120001       0.015229        9.913800        0.000000        1.332500       
5.820000        0.266833        148.893005      0.000400        23.811272      
20.209999       26.377001       214.582993      32.000000       85.260002      
28.910000       5.930848        216.980331      5.476000        52.873249      
37.340000       37.769100       83.418427       52.160000       66.927505      
50.110001       127.096497      514.948975      201.399994      298.212494     
54.509998       135.002487      523.964966      207.800003      314.812500     
