 FLOW_OUT_1
observed          L95PPU         U95PPU         Best_Sim       M95PPU
129.690002      11.551650       204.443710      11.040000       113.369995     
138.770004      44.808575       134.751343      44.570000       92.285004      
201.979996      136.638504      301.953064      136.199997      223.899994     
155.270004      136.616241      218.142441      136.399994      179.649994     
448.420013      106.380249      249.734558      106.000000      182.050003     
459.179993      140.008759      294.107544      139.600006      221.350006     
226.210007      114.839996      205.320053      114.599998      162.600006     
59.330002       20.758200       38.929600       39.990002       30.350000      
16.129999       0.044132        16.169025       17.110001       8.555680       
4.810000        0.018327        6.927795        7.331000        3.665500       
16.580000       0.049245        10.339506       10.940000       5.480975       
62.240002       2.825737        14.413774       15.090000       8.942500       
256.359985      132.806000      549.767944      131.699997      352.899994     
122.720001      80.071999       107.215981      80.000000       94.400002      
115.000000      81.614777       128.654922      81.489998       106.444992     
146.210007      60.930901       132.900208      60.740002       98.920006      
225.839996      18.574049       20.100904       20.190001       19.380001      
340.769989      80.775551       267.597961      80.279999       179.389999     
326.320007      128.655258      262.584412      128.300003      199.350006     
197.050003      90.043480       140.363541      89.910004       116.605003     
31.150000       0.102525        38.754444       41.009998       20.504999      
11.440000       0.062575        23.653351       25.030001       12.515000      
19.100000       0.106337        23.117189       24.459999       12.252649      
44.599998       2.076660        24.945477       26.280001       14.148001      
50.490002       9.489923        24.163706       25.020000       17.235500      
55.730000       5.467890        22.014420       22.980000       14.202000      
69.220001       18.627325       21.388844       18.620001       20.084999      
111.110001      32.364803       139.734390      32.080002       89.040001      
155.419998      37.838799       97.706390       37.680000       69.440002      
631.669983      179.377258      472.400482      178.600006      334.049988     
255.000000      36.003601       52.440796       35.959999       44.680000      
26.420000       4.373100        13.081799       13.590000       8.970000       
17.910000       0.511959        3.361702        3.528000        2.016200       
6.510000        0.000163        0.061538        0.065100        0.032560       
17.540001       0.000487        0.184086        0.194800        0.097400       
36.080002       0.929551        3.550077        3.703000        2.312800       
52.349998       4.806710        6.582378        6.686000        5.744000       
59.099998       3.456102        6.133745        6.290000        4.869500       
55.590000       4.533708        10.832435       4.517000        7.858500       
60.889999       25.963276       128.987946      25.690001       80.345001      
88.389999       1.760735        41.245831       1.656000        22.602999      
219.330002      8.680152        137.294647      8.339000        76.569504      
134.919998      0.114775        43.384949       0.000000        22.955000      
31.590000       0.000042        0.015715        0.000000        0.008315       
14.520000       0.070475        26.639551       0.000000        14.095000      
0.420000        0.000000        0.000000        0.000000        0.000000       
2.000000        0.000000        0.000000        0.000000        0.000000       
14.250000       0.002660        1.005480        0.000000        0.532000       
58.400002       0.168650        63.749699       0.000000        33.730000      
53.360001       0.075661        24.230440       0.011600        12.825794      
52.180000       2.593222        29.821108       2.521000        16.965500      
83.910004       201.122253      548.810425      200.199997      384.649994     
305.769989      276.386749      686.091370      275.299988      492.649994     
497.130005      33.512127       75.783257       33.400002       55.825001      
184.199997      16.941450       47.648098       16.860001       33.150002      
30.969999       0.971916        1.468048        0.970600        1.233800       
4.650000        0.000000        0.000000        0.000000        0.000000       
5.040000        0.000000        0.000000        0.000000        0.000000       
5.600000        0.000000        0.000000        0.000000        0.000000       
20.709999       0.000000        0.000000        0.000000        0.000000       
38.689999       0.399984        0.997152        0.398400        0.715200       
40.400002       1.152557        2.493735        1.149000        1.860500       
48.580002       5.336653        83.621643       5.129000        46.659500      
56.580002       3.145045        23.143005       3.092000        13.701000      
57.889999       3.502835        28.699631       3.436000        16.802999      
60.840000       2.931803        41.688347       2.829000        23.389500      
13.460000       0.000000        0.000000        0.000000        0.000000       
1.590000        0.000000        0.000000        0.000000        0.000000       
2.690000        0.000000        0.000000        0.000000        0.000000       
4.980000        0.000000        0.000000        0.000000        0.000000       
2.630000        0.000000        0.000000        0.000000        0.000000       
6.330000        0.000000        0.000000        0.000000        0.000000       
19.650000       0.139525        52.740459       0.000000        27.905001      
26.809999       9.161018        49.883621       9.053000        30.656500      
29.209999       6.765125        50.167248       6.650000        29.675001      
32.029999       80.099998       230.899994      79.699997       159.699997     
111.699997      67.285156       385.906708      66.440002       235.470001     
127.099998      14.706800       81.360390       14.530000       49.889999      
23.690001       0.098585        1.800674        0.094100        0.997035       
2.260000        0.000000        0.000000        0.000000        0.000000       
0.550000        0.000000        0.000000        0.000000        0.000000       
0.270000        0.000000        0.000000        0.000000        0.000000       
0.220000        0.000000        0.000000        0.000000        0.000000       
0.770000        0.000000        0.000000        0.000000        0.000000       
10.320000       0.023970        9.060659        0.000000        4.794000       
25.840000       2.699890        50.160412       2.574000        27.752001      
30.219999       5.306135        20.437029       5.266000        13.292999      
39.669998       37.153950       200.753113      36.720001       123.510002     
70.370003       0.065243        13.808034       0.028800        7.319395       
