Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_7     37.340000       48.793102       83.891792       48.700001      
FLOW_OUT_7     50.110001       178.850006      386.199982      178.300003     
FLOW_OUT_7     54.509998       182.317749      415.209412      181.699997     
FLOW_OUT_7     60.209999       90.857727       221.950027      90.510002      
FLOW_OUT_7     125.029999      65.262222       122.651024      65.110001      
FLOW_OUT_7     192.000000      8.325945        24.893215       25.860001      
FLOW_OUT_7     157.570007      0.019720        7.454161        7.888000       
FLOW_OUT_7     52.119999       0.009500        3.591000        3.800000       
FLOW_OUT_7     7.700000        0.009595        3.626910        3.838000       
FLOW_OUT_7     10.060000       0.015802        5.973346        6.321000       
FLOW_OUT_7     8.250000        23.472950       88.675095       23.299999      
FLOW_OUT_7     14.400000       32.237251       46.280479       32.200001      
FLOW_OUT_7     66.620003       40.455925       125.629669      40.230000      
FLOW_OUT_7     88.949997       88.262329       198.468796      87.970001      
FLOW_OUT_7     138.669998      54.876701       189.352615      54.520000      
FLOW_OUT_7     122.690002      35.887852       121.787292      35.660000      
FLOW_OUT_7     285.640015      39.594322       124.164848      39.369999      
FLOW_OUT_7     254.139999      7.282592        10.898968       11.110000      
FLOW_OUT_7     151.619995      0.002207        0.834340        0.882900       
FLOW_OUT_7     48.040001       0.000000        0.000000        0.000000       
FLOW_OUT_7     14.620000       0.000000        0.000000        0.000000       
FLOW_OUT_7     5.410000        0.072175        1.951341        2.061000       
FLOW_OUT_7     12.660000       10.984751       156.035492      10.600000      
FLOW_OUT_7     37.650002       42.303749       119.117508      42.099998      
FLOW_OUT_7     109.150002      122.474495      263.660980      122.099998     
FLOW_OUT_7     67.889999       124.980499      193.029007      124.800003     
FLOW_OUT_7     77.660004       99.219696       212.206650      98.919998      
FLOW_OUT_7     112.949997      135.202499      286.945068      134.800003     
FLOW_OUT_7     146.029999      113.332497      200.985031      113.099998     
FLOW_OUT_7     244.229996      20.990376       39.981747       41.090000      
FLOW_OUT_7     272.320007      0.047911        17.662117       18.690001      
FLOW_OUT_7     184.839996      0.021875        8.268750        8.750000       
FLOW_OUT_7     25.330000       0.053092        11.322373       11.980000      
FLOW_OUT_7     14.940000       2.396367        14.975913       15.710000      
FLOW_OUT_7     13.710000       131.972504      498.604950      131.000000     
FLOW_OUT_7     34.990002       79.100426       105.650658      79.029999      
FLOW_OUT_7     42.610001       81.372604       123.822784      81.260002      
FLOW_OUT_7     46.639999       61.205200       131.025574      61.020000      
FLOW_OUT_7     51.619999       18.296251       20.652500       20.790001      
FLOW_OUT_7     75.379997       81.421852       255.539307      80.959999      
FLOW_OUT_7     105.970001      129.854004      263.312012      129.500000     
FLOW_OUT_7     353.000000      91.482872       141.576767      91.349998      
FLOW_OUT_7     175.979996      0.119603        40.342754       42.689999      
FLOW_OUT_7     27.830000       0.066500        25.137001       26.600000      
FLOW_OUT_7     24.930000       0.357564        24.170391       25.559999      
FLOW_OUT_7     3.530000        2.590003        25.587944       26.930000      
FLOW_OUT_7     8.890000        9.596633        24.538088       25.410000      
FLOW_OUT_7     30.360001       5.211085        22.208130       23.200001      
FLOW_OUT_7     37.720001       18.815800       21.002401       18.809999      
FLOW_OUT_7     40.000000       32.624649       139.937698      32.340000      
FLOW_OUT_7     43.650002       38.247051       89.914902       38.110001      
FLOW_OUT_7     42.340000       179.944504      460.620972      179.199997     
FLOW_OUT_7     52.340000       37.261375       49.089756       37.230000      
FLOW_OUT_7     139.320007      4.771835        14.511627       15.080000      
FLOW_OUT_7     74.980003       0.600280        4.815046        5.061000       
FLOW_OUT_7     18.090000       0.000844        0.319032        0.337600       
FLOW_OUT_7     8.580000        0.001293        0.488660        0.517100       
FLOW_OUT_7     0.320000        1.358732        4.273885        4.444000       
FLOW_OUT_7     2.390000        4.900220        6.868159        6.983000       
FLOW_OUT_7     8.920000        3.463670        6.355259        6.524000       
FLOW_OUT_7     34.740002       4.727172        10.824206       4.711000       
FLOW_OUT_7     33.070000       17.200424       66.370644       17.070000      
FLOW_OUT_7     34.290001       2.045375        38.001747       1.950000       
FLOW_OUT_7     55.840000       8.941503        138.064957      8.599000       
FLOW_OUT_7     198.839996      0.160378        32.427063       0.074800       
FLOW_OUT_7     308.329987      0.000325        0.122755        0.000000       
FLOW_OUT_7     125.529999      0.023250        8.788499        0.000000       
FLOW_OUT_7     38.580002       0.000000        0.000000        0.000000       
FLOW_OUT_7     5.960000        0.000000        0.000000        0.000000       
FLOW_OUT_7     4.310000        0.003198        1.208655        0.000000       
FLOW_OUT_7     5.180000        0.159850        60.423306       0.000000       
FLOW_OUT_7     15.410000       0.115739        23.986984       0.052400       
FLOW_OUT_7     23.180000       2.750348        28.894352       2.681000       
FLOW_OUT_7     25.400000       197.516754      467.731598      196.800003     
FLOW_OUT_7     30.809999       267.183014      637.774048      266.200012     
FLOW_OUT_7     32.810001       33.544601       61.668812       33.470001      
FLOW_OUT_7     35.470001       18.100351       44.622292       18.030001      
FLOW_OUT_7     33.680000       1.275095        1.687910        1.274000       
FLOW_OUT_7     10.440000       0.000000        0.000000        0.000000       
FLOW_OUT_7     0.750000        0.000000        0.000000        0.000000       
FLOW_OUT_7     3.830000        0.000000        0.000000        0.000000       
FLOW_OUT_7     2.030000        0.000000        0.000000        0.000000       
FLOW_OUT_7     1.580000        0.646185        1.055135        0.645100       
FLOW_OUT_7     4.550000        1.422410        2.330980        1.420000       
FLOW_OUT_7     9.700000        5.494723        78.528114       5.301000       
FLOW_OUT_7     14.480000       3.297937        23.255377       3.245000       
FLOW_OUT_7     16.940001       3.700990        28.956219       3.634000       
FLOW_OUT_7     23.990000       3.161280        42.097836       3.058000       
FLOW_OUT_7     69.919998       0.000000        0.000000        0.000000       
FLOW_OUT_7     63.209999       0.000000        0.000000        0.000000       
FLOW_OUT_7     15.770000       0.000000        0.000000        0.000000       
FLOW_OUT_7     3.850000        0.000000        0.000000        0.000000       
FLOW_OUT_7     1.260000        0.000000        0.000000        0.000000       
